iso3c,dtp3
AFG,0.66
AGO,0.6
ALB,0.99
ARE,0.97
ARG,0.92
ARM,0.95
AUS,0.95
AUT,0.9
AZE,0.97
BDI,0.9
BEL,0.98
BEN,0.82
BFA,0.84
BGD,0.98
BGR,0.94
BHR,0.99
BIH,0.57
BLR,0.97
BLZ,0.98
BOL,0.81
BRA,0.73
BRN,0.99
BTN,0.98
BWA,0.9
CAF,0.42
CAN,0.91
CHE,0.98
CHL,0.9
CHN,0.99
CIV,0.85
CMR,0.72
COD,0.55
COG,0.78
COL,0.89
COM,0.89
CPV,0.97
CRI,0.87
CUB,0.99
CYP,0.99
CZE,0.97
DEU,0.97
DJI,0.79
DNK,0.95
DOM,0.88
DZA,0.95
ECU,0.84
EGY,0.93
ERI,0.89
ESP,0.97
ETH,0.55
FIN,0.94
FJI,0.99
FRA,0.99
GAB,0.71
GBR,0.94
GEO,0.97
GHA,0.97
GIN,0.45
GMB,0.9
GNB,0.8
GNQ,0.38
GRC,0.98
GTM,0.86
GUY,0.88
HND,0.97
HRV,0.93
HTI,0.48
HUN,0.99
IDN,0.76
IND,0.93
IRL,0.95
IRN,0.96
IRQ,0.73
ISL,0.99
ISR,0.97
ITA,0.96
JAM,0.9
JOR,0.97
JPN,0.99
KAZ,0.97
KEN,0.89
KGZ,0.95
KHM,0.93
KIR,0.98
KOR,0.99
KWT,0.99
LAO,0.87
LBN,0.63
LBR,0.75
LBY,0.8
LCA,0.99
LKA,0.99
LSO,0.77
LTU,0.94
LUX,0.97
LVA,0.97
MAR,0.99
MDA,0.9
MDG,0.57
MDV,0.99
MEX,0.83
MKD,0.93
MLI,0.72
MMR,0.89
MNE,0.89
MNG,0.99
MOZ,0.72
MRT,0.88
MUS,0.99
MWI,0.94
MYS,0.98
NAM,0.84
NER,0.61
NGA,0.54
NIC,0.98
NLD,0.95
NOR,0.97
NPL,0.91
NZL,0.93
OMN,0.99
PAK,0.68
PAN,0.92
PER,0.84
PHL,0.74
PNG,0.58
POL,0.93
PRT,0.98
PRY,0.89
QAT,0.99
ROU,0.88
RUS,0.97
RWA,0.97
SAU,0.99
SDN,0.74
SEN,0.86
SGP,0.97
SLE,0.75
SLV,0.86
SOM,0.42
SRB,0.9
SSD,0.33
STP,0.89
SUR,0.82
SVK,0.98
SVN,0.97
SWE,0.98
SWZ,0.83
SYR,0.59
TCD,0.37
TGO,0.87
THA,0.99
TJK,0.91
TKM,0.99
TTO,0.88
TUN,0.98
TUR,0.99
TZA,0.87
UGA,0.91
UKR,0.83
URY,0.9
USA,0.93
UZB,0.99
VEN,0.77
VNM,0.97
YEM,0.49
ZAF,0.76
ZMB,0.83
ZWE,0.86
