iso3c,hdi
NOR,0.966
CHE,0.967
IRL,0.950
DEU,0.950
HKG,0.956
ISL,0.959
SWE,0.952
AUS,0.946
DNK,0.952
NLD,0.946
BEL,0.942
FIN,0.942
SGP,0.949
GBR,0.940
NZL,0.939
ARE,0.937
CAN,0.935
USA,0.927
LUX,0.927
AUT,0.926
JPN,0.920
ISR,0.915
KOR,0.929
SVN,0.926
ESP,0.911
FRA,0.910
CZE,0.895
MLT,0.915
ITA,0.906
EST,0.899
CYP,0.907
GRC,0.893
POL,0.881
LTU,0.879
SAU,0.875
PRT,0.874
LVA,0.879
HRV,0.878
QAT,0.875
BHR,0.888
SVK,0.855
HUN,0.851
ARG,0.849
KWT,0.847
MNE,0.844
CHL,0.860
TUR,0.855
URY,0.830
RUS,0.821
ROU,0.827
BRN,0.823
PAN,0.820
KAZ,0.811
BGR,0.799
MYS,0.807
SRB,0.805
GEO,0.814
PLW,0.767
TTO,0.814
SYC,0.802
MUS,0.802
BLR,0.808
CRI,0.806
OMN,0.819
MKD,0.770
BRA,0.760
ALB,0.789
GRD,0.793
CHN,0.788
ARM,0.786
BIH,0.779
THA,0.803
IRN,0.780
PER,0.762
COL,0.758
LCA,0.725
DOM,0.766
ECU,0.765
DZA,0.745
FJI,0.729
JAM,0.706
TUN,0.732
MEX,0.781
MDV,0.762
LKA,0.780
AZE,0.760
BWA,0.708
MDA,0.763
EGY,0.728
VNM,0.726
PHL,0.710
LBN,0.723
IDN,0.713
PRY,0.731
ZAF,0.717
GAB,0.693
PSE,0.716
VEN,0.699
KGZ,0.701
MAR,0.698
IRQ,0.673
GUY,0.742
JOR,0.736
BLZ,0.700
SLV,0.674
BOL,0.698
TJK,0.679
NIC,0.674
BTN,0.681
NAM,0.610
IND,0.644
HND,0.624
KHM,0.600
BGD,0.670
GHA,0.602
ZWE,0.550
LAO,0.620
COG,0.593
KEN,0.601
MMR,0.608
NPL,0.601
AGO,0.591
CMR,0.587
ZMB,0.569
PAK,0.540
PNG,0.568
COM,0.586
HTI,0.552
SDN,0.516
TZA,0.532
CIV,0.534
MRT,0.540
LSO,0.521
SEN,0.517
UGA,0.550
RWA,0.548
NGA,0.548
CPV,0.661
TGO,0.547
BEN,0.525
MWI,0.508
GMB,0.495
ETH,0.498
LBR,0.487
GIN,0.471
GNB,0.483
DJI,0.515
COD,0.481
MOZ,0.461
MLI,0.428
BFA,0.438
SLE,0.458
ERI,0.493
GNQ,0.650
YEM,0.424
BDI,0.420
NER,0.394
TCD,0.394
CAF,0.387
SSD,0.381
SOM,0.380
SWZ,0.610
STP,0.613
MDG,0.487
KIR,0.628
SUR,0.730
TKM,0.744
UZB,0.727
LBY,0.746
