iso3c,dtp3,ln_gdp,urb,ln_pop,hdi
AGO,0.6,8.7796,0.68,17.3709,0.591
ALB,0.99,9.6158,0.63,14.8451,0.789
ARE,1,11.2118,0.87,16.0562,0.937
ARG,0.92,10.0858,0.92,17.6442,0.849
ARM,0.95,9.6158,0.63,14.8451,0.786
AUS,0.95,10.8967,0.86,17.0736,0.946
AUT,0.9,10.9853,0.59,16.0127,0.926
AZE,0.97,9.6158,0.57,16.1181,0.76
BDI,0.9,6.6846,0.14,16.3805,0.42
BEL,0.98,11.0021,0.98,16.3004,0.942
BEN,0.82,8.2161,0.49,16.3805,0.525
BFA,0.84,7.7832,0.31,16.9066,0.438
BGD,0.98,8.7796,0.4,18.9572,0.67
BGR,0.94,10.2036,0.76,15.747,0.799
BIH,0.57,9.741,0.49,14.9787,0.779
BLR,0.97,9.9035,0.8,16.0668,0.808
BLZ,0.98,9.0478,0.46,12.9239,0.7
BOL,0.81,9.0478,0.71,16.3004,0.698
BRA,0.73,9.6158,0.87,19.1861,0.76
BRN,1,11.0509,0.78,13.017,0.823
BTN,0.98,9.3057,0.43,13.567,0.681
BWA,0.9,9.741,0.72,14.771,0.708
CAF,0.42,6.9078,0.43,15.5203,0.387
CAN,0.91,10.859,0.82,17.4791,0.935
CHL,0.9,10.1659,0.88,16.8112,0.86
CHN,1,9.8522,0.63,21.0683,0.788
CIV,0.85,8.6656,0.52,17.1477,0.534
CMR,0.72,8.294,0.58,17.1113,0.587
COD,0.55,7.1701,0.46,18.4106,0.481
COG,0.78,8.1605,0.68,15.5905,0.593
COL,0.89,9.6158,0.82,17.7668,0.758
COM,0.89,8.1017,0.29,13.653,0.586
CPV,0.97,8.9227,0.67,13.2879,0.661
CRI,0.87,9.9988,0.81,15.4642,0.806
CYP,1,10.6919,0.67,13.9978,0.907
CZE,0.97,10.669,0.74,16.2134,0.895
DEU,0.97,10.9682,0.78,18.2344,0.95
DJI,0.79,8.6125,0.78,13.9108,0.515
DNK,0.95,11.1124,0.88,15.5905,0.952
DOM,0.88,9.9035,0.83,16.2134,0.766
DZA,0.95,9.3057,0.75,17.6222,0.745
ECU,0.84,9.3057,0.64,16.7059,0.765
EGY,0.93,9.4727,0.43,18.525,0.728
ERI,0.89,7.4384,0.42,15.0964,0.493
ESP,0.97,10.6454,0.81,17.6867,0.911
ETH,0.55,7.824,0.22,18.6277,0.498
FIN,0.94,10.878,0.85,15.5203,0.942
FJI,1,9.4727,0.58,13.7102,0.729
FRA,1,10.8396,0.81,18.035,0.91
GAB,0.71,9.6158,0.91,14.691,0.693
GBR,0.94,10.7996,0.84,18.0202,0.94
GEO,0.97,9.7981,0.6,15.1238,0.814
GHA,0.97,8.6995,0.58,17.312,0.602
GIN,0.45,7.9725,0.37,16.3805,0.471
GMB,0.9,7.7832,0.63,14.8088,0.495
GNB,0.8,7.6497,0.45,14.5574,0.483
GNQ,0.38,9.7981,0.74,14.3461,0.65
GRC,0.98,10.3735,0.8,16.1181,0.893
GUY,0.88,10.0858,0.27,13.6048,0.742
HND,0.97,8.6995,0.59,16.1181,0.624
HRV,0.93,10.4631,0.58,15.1765,0.878
HTI,0.48,8.0064,0.59,16.3004,0.552
HUN,1,10.5187,0.72,16.1181,0.851
IDN,0.76,9.3927,0.58,19.4323,0.713
IND,0.93,8.9227,0.35,21.0718,0.644
IRL,0.95,11.5712,0.64,15.4448,0.95
IRN,0.96,9.6158,0.76,18.2928,0.78
IRQ,0.73,9.3057,0.71,17.5997,0.673
ISR,0.97,10.6919,0.93,16.0562,0.915
ITA,0.96,10.7144,0.71,17.893,0.906
JAM,0.9,9.2103,0.57,14.8451,0.706
JOR,0.97,9.2103,0.92,16.2134,0.736
JPN,0.99,10.6454,0.92,18.6438,0.92
KAZ,0.97,10.2036,0.58,16.7599,0.811
KEN,0.89,8.5172,0.29,17.8045,0.601
KGZ,0.95,8.6125,0.37,15.7176,0.701
KHM,0.93,8.4118,0.25,16.6487,0.6
KIR,0.98,7.7407,0.57,11.7753,0.628
KWT,1,10.8396,1.0,15.2741,0.847
LAO,0.87,9.0478,0.37,15.8304,0.62
LBN,0.63,9.4727,0.89,15.7324,0.723
LBR,0.75,7.3132,0.52,15.4832,0.487
LBY,0.8,9.6158,0.81,15.7614,0.746
LKA,0.99,9.4727,0.19,16.9066,0.78
LSO,0.77,7.901,0.3,14.6484,0.521
LTU,0.94,10.669,0.68,14.8451,0.879
LVA,0.97,10.4631,0.68,14.4574,0.879
MAR,0.99,9.0478,0.64,17.4264,0.698
MDA,0.9,9.6158,0.43,14.771,0.763
MDG,0.57,7.4384,0.4,17.1828,0.487
MEX,0.83,9.9035,0.81,18.6675,0.781
MLI,0.72,7.7832,0.45,16.9066,0.428
MNE,0.89,9.9988,0.68,13.3375,0.844
MOZ,0.72,7.1701,0.38,17.312,0.461
MRT,0.88,8.6995,0.56,15.3631,0.54
MUS,0.99,10.1266,0.41,14.0779,0.802
MWI,0.94,7.3778,0.18,16.8112,0.508
MYS,0.98,10.2751,0.78,17.3419,0.807
NAM,0.84,9.2103,0.54,14.7318,0.61
NER,0.61,7.1701,0.17,17.0736,0.394
NGA,0.54,8.5172,0.53,19.2046,0.548
NIC,0.98,8.7483,0.59,15.747,0.674
NLD,0.95,11.0509,0.93,16.7059,0.946
NOR,0.97,11.2645,0.83,15.5203,0.966
NPL,0.91,8.294,0.21,17.2167,0.601
NZL,1,10.7364,0.87,15.4642,0.939
OMN,1,10.4913,0.87,15.3416,0.819
PAK,0.68,8.6125,0.38,19.2793,0.54
PAN,0.92,10.4043,0.68,15.2971,0.82
PER,0.84,9.4727,0.78,17.3419,0.762
PHL,0.74,9.105,0.48,18.5691,0.71
PNG,0.58,8.294,0.13,16.1181,0.568
POL,0.93,10.5187,0.6,17.4264,0.881
PRT,0.98,10.5187,0.67,16.1181,0.874
PRY,0.89,9.5468,0.63,15.7614,0.731
QAT,1,11.4404,0.99,14.8088,0.875
ROU,0.88,10.4631,0.54,16.7599,0.827
RUS,0.97,10.3417,0.75,18.7853,0.821
RWA,0.97,7.824,0.18,16.4546,0.548
SAU,1,10.779,0.85,17.399,0.875
SDN,0.74,8.294,0.36,17.6657,0.516
SEN,0.86,8.2161,0.49,16.6487,0.517
SGP,0.97,11.5806,1.0,15.5905,0.949
SLE,0.75,7.5496,0.44,15.9556,0.458
SLV,0.86,9.159,0.74,15.6561,0.674
SOM,0.42,7.0031,0.47,16.6487,0.38
SRB,0.9,9.9523,0.57,15.7324,0.805
SSD,0.33,6.8024,0.2,16.2134,0.381
STP,0.89,8.3894,0.76,12.3458,0.613
SUR,0.82,9.741,0.66,13.3375,0.73
SVK,0.98,10.4043,0.54,15.5203,0.855
SVN,0.97,10.6454,0.56,14.5574,0.926
SWE,0.98,10.9682,0.88,16.1181,0.952
SWZ,0.83,9.159,0.24,13.9978,0.61
